id,name,mobile,email,address,city,service,gender,mark1,mark2,dept,mark3,arrear,clear,sport,extra_cur,skill,income,jobtype
27,KPIT Technologies,8832166462,xx@info.com,DS Nagar,Pune,Software Development,Any,85,85,Any,60,1,0,x,Seminar,Multimedia,200000,None
28,Mastek,8832166463,xx@info.com,DS Nagar,Mumbai,Software Development,Any,65,65,Any,60,0,0,x,Seminar,Multimedia,200000,None
29,Melstar Information Technologies,8832166464,xx@info.com,DS Nagar,Mumbai,Software Development,Any,60,60,Any,60,0,0,x,Seminar,Python,200000,None
30,Microland,8832166465,xx@info.com,DS Nagar,Bangalore,Software Development,Any,85,85,Any,60,0,0,x,Seminar,Python,200000,None
31,Microsoft,8832166466,xx@info.com,DS Nagar,Hyderabad,Software Development,Any,95,95,Any,90,0,0,x,Seminar,Python,200000,None
32,Mistral Solutions,8832166467,xx@info.com,DS Nagar,Bangalore,Software Development,Any,60,60,Any,60,1,0,x,Seminar,PHP,200000,None
33,Monsoon Multimedia,8832166468,xx@info.com,DS Nagar,Noida,Software Development,Any,60,60,Any,60,1,0,x,x,PHP,200000,None
34,Nucleus Software Exports,8832166469,xx@info.com,DS Nagar,Noida,Software Development,Any,90,90,Any,60,0,0,x,x,x,200000,None
35,Onward Technologies,8832166470,xx@info.com,DS Nagar,Mumbai,Software Development,Any,60,60,Any,60,0,0,x,x,x,200000,None
36,Oswald Labs,8832166471,xx@info.com,DS Nagar,Delhi,Software Development,Any,60,60,Any,60,1,0,x,x,x,200000,None
37,Persistent Systems,8832166472,xx@info.com,DS Nagar,Pune,Software Development,Any,86,86,Any,60,1,0,x,x,x,200000,None
38,Quest Global,8832166473,xx@info.com,DS Nagar,Thiruvananthapuram,Software Development,Any,60,60,Any,60,0,0,x,x,x,200000,None
39,Ramco Systems,8832166474,xx@info.com,DS Nagar,Chennai,Software Development,Any,75,75,Any,90,0,0,x,x,x,200000,None
40,Rediff.com,8832166475,xx@info.com,DS Nagar,Mumbai,Software Development,Any,60,60,Any,75,1,0,Cricket,x,x,200000,None
41,Samsung India Software Centre,8832166476,xx@info.com,DS Nagar,Noida,Software Development,Any,60,60,Any,85,0,0,Cricket,x,x,200000,None
42,Sasken Technologies,8832166477,xx@info.com,DS Nagar,Bangalore,Software Development,Any,60,60,Any,60,0,0,Cricket,x,x,200000,None
43,Sonata Software,8832166478,xx@info.com,DS Nagar,Bangalore,Software Development,Any,60,60,Any,65,0,0,Cricket,x,x,200000,None
44,SPAN Infotech (India) Pvt. Ltd.,8832166479,xx@info.com,DS Nagar,Bangalore,Software Development,Any,60,60,Any,74,0,0,x,x,x,200000,None
45,Tata Interactive Systems,8832166480,xx@info.com,DS Nagar,Mumbai,Software Development,Any,60,60,Any,78,0,0,x,x,x,200000,None
46,Thoughtworks,8832166481,xx@info.com,DS Nagar,Bangalore,Software Development,Any,50,50,Any,88,1,0,x,x,x,200000,None
47,UST,8832166482,xx@info.com,DS Nagar,Chennai,Software Development,Any,60,60,Any,86,1,0,x,x,x,200000,None
48,WNS Global Services,8832166483,xx@info.com,DS Nagar,Mumbai,Software Development,Any,60,60,Any,58,0,0,x,x,Python,200000,None
49,Zensar Technologies,8832166484,xx@info.com,DS Nagar,Pune,Software Development,Any,65,65,Any,64,0,0,x,Seminar,Python,200000,None
50,Zoho Corporation,8832166485,xx@info.com,DS Nagar,Chennai,Software Development,Any,75,75,Any,70,0,0,Tennis,Seminar,Python,200000,None
